episode_id,environment_complexity,num_robots,num_tasks,task_dependency_level,obstacle_density,initial_position,target_position,path_length,collisions,energy_consumption,time_taken,task_completion_rate,reward_score,po_tsatd3_action,navigation_efficiency,scheduling_efficiency,overall_performance_score
1,medium,1,13,sequential,0.59,"(1, 32)","(84, 56)",110.48,0,232.95,188.37,77.7,73.93,optimize_schedule,0.782,0.777,90.2
2,low,2,13,sequential,0.58,"(18, 41)","(56, 66)",50.65,3,224.23,494.8,62.78,37.88,adjust_learning_rate,0.898,0.628,72.8
3,medium,1,12,independent,0.55,"(45, 50)","(70, 65)",177.45,5,235.73,118.48,78.54,51.17,increase_exploration,0.164,0.785,48.87
4,low,3,16,independent,0.4,"(50, 32)","(63, 62)",179.56,4,156.7,189.51,97.84,74.05,adjust_learning_rate,0.182,0.978,59.11
5,medium,4,19,independent,0.47,"(29, 50)","(92, 82)",171.94,5,142.39,292.43,79.19,48.34,increase_exploration,0.411,0.792,54.51
6,medium,1,9,interdependent,0.38,"(41, 19)","(81, 57)",63.12,1,199.29,359.56,72.17,59.98,optimize_schedule,0.874,0.722,85.47
7,medium,4,20,sequential,0.66,"(26, 5)","(78, 84)",109.0,1,207.11,165.77,81.45,73.13,optimize_schedule,0.868,0.815,87.4
8,low,5,7,independent,0.44,"(45, 2)","(99, 86)",153.89,4,216.67,388.45,60.73,32.96,optimize_schedule,0.649,0.607,61.24
9,high,1,10,sequential,0.68,"(45, 15)","(61, 83)",178.44,4,177.94,157.83,97.36,74.2,increase_exploration,0.391,0.974,63.67
10,low,5,20,interdependent,0.15,"(14, 9)","(58, 69)",111.02,2,183.19,365.54,65.95,48.64,optimize_schedule,0.67,0.659,73.98
11,high,1,8,sequential,0.23,"(37, 44)","(60, 58)",116.34,4,221.42,327.02,84.43,57.89,increase_exploration,0.231,0.844,57.22
12,high,5,7,sequential,0.16,"(0, 24)","(51, 56)",92.75,0,288.08,146.41,72.61,69.68,optimize_schedule,0.649,0.726,86.11
